plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
63313,"Coral Bells Solar, LLC",MN,1.0,863.7,Ohio,1000000.0,Rail,0.0034548,3454.8,19.0014,1615.119,500-1000km
63314,"Primrose Solar, LLC",MN,1.0,892.6,Ohio,1000000.0,Rail,0.0035704,3570.4,19.6372,1669.162,500-1000km
63315,"Kerria Solar, LLC",MN,1.0,1004.2,Ohio,1000000.0,Rail,0.0040168,4016.8,22.0924,1877.854,1000-1500km
63317,"Geranium Solar, LLC",MN,1.0,1011.8,Ohio,1000000.0,Rail,0.0040472,4047.2,22.2596,1892.0659999999998,1000-1500km
63318,"Bellflower Solar, LLC",MN,1.0,1024.5,Ohio,1000000.0,Rail,0.004098,4098.0,22.538999999999998,1915.8149999999998,1000-1500km
63319,"Iris Solar, LLC (MN)",MN,1.0,911.7,Ohio,1000000.0,Rail,0.0036468,3646.8,20.0574,1704.8790000000001,500-1000km
63320,Titan Solar Project,TX,260.0,1223.5,Louisiana,260000000.0,Rail,0.004894,1272440.0,6998.419999999999,594865.7,1000-1500km
63328,Juno Solar Project,TX,143.5,962.6,Louisiana,143500000.0,Rail,0.0038504,552532.4,3038.9282,258308.897,500-1000km
63328,Juno Solar Project,TX,162.1,962.6,Louisiana,162100000.0,Rail,0.0038504,624149.84,3432.8241199999998,291790.0502,500-1000km
63329,Aragorn Solar Project,TX,187.2,1222.2,Louisiana,187200000.0,Rail,0.0048888,915183.3599999999,5033.5084799999995,427848.22079999995,1000-1500km
63346,"Cubera Solar, LLC",NC,2.0,794.3,Ohio,2000000.0,Rail,0.0031772,6354.4,34.9492,2970.682,500-1000km
63349,OE_AZ1,AZ,32.5,2103.1,Louisiana,32500000.0,Rail,0.008412399999999999,273402.99999999994,1503.7165,127815.9025,2000-3000km
63350,OE_GA3,GA,57.5,479.0,Alabama,57500000.0,Truck,0.003832,220340.0,1872.89,159195.65,0-500km
